contract_id,customer_id,product_id,contract_type,start_date,end_date,monthly_charges,total_charges,payment_method,auto_renewal,churned,churn_date
1,1,2,Annual,2020-03-19,2023-07-02,93.68,3747.2,UPI,1,0,
2,2,4,Annual,2022-02-04,2023-09-27,385.37,7707.4,Debit Card,0,0,
3,3,2,Annual,2022-09-04,2026-07-15,95.2,4474.4,UPI,1,0,
4,4,1,Annual,2022-09-10,2023-03-09,32.53,195.18,Net Banking,0,0,
5,5,1,Monthly,2020-01-02,2021-11-22,38.34,881.82,Credit Card,1,1,2020-06-30
6,6,5,Annual,2021-10-30,2023-01-23,11.87,178.05,Debit Card,1,0,
7,7,3,Annual,2021-03-17,2022-04-11,192.54,2503.02,Credit Card,1,1,2021-11-12
8,8,2,Annual,2022-09-19,2024-05-11,85.15,1703.0,Bank Transfer,0,1,2024-02-11
9,9,1,Annual,2021-03-11,2021-05-10,36.25,72.5,Bank Transfer,1,1,2021-04-10
10,10,1,Annual,2020-01-02,2021-10-23,35.69,785.18,Credit Card,0,0,
11,11,1,Annual,2021-04-07,2021-07-06,30.47,91.41,UPI,1,0,
12,12,2,Monthly,2020-03-16,2021-05-10,101.31,1418.34,UPI,0,0,
13,13,4,Monthly,2020-08-26,2023-06-12,401.22,13641.48,Net Banking,1,0,
14,14,5,Monthly,2020-10-27,2021-08-23,12.21,122.1,Net Banking,0,0,
15,15,3,Annual,2021-05-19,2023-11-05,178.26,5347.8,Bank Transfer,1,0,
16,16,1,Monthly,2020-03-18,2021-07-11,34.11,545.76,Debit Card,1,1,2020-08-15
17,17,2,Annual,2020-02-02,2023-07-16,82.33,3457.86,Credit Card,0,0,
18,18,5,Monthly,2021-08-25,2022-02-21,12.66,75.96,UPI,1,0,
19,19,1,Annual,2021-05-05,2021-12-01,32.53,227.71,Bank Transfer,1,0,
20,20,3,Annual,2022-11-10,2022-12-10,135.63,135.63,Credit Card,0,0,
21,21,1,Annual,2021-06-04,2021-12-31,31.0,217.0,Bank Transfer,1,0,
22,22,1,Annual,2020-06-07,2020-07-07,29.92,29.92,Net Banking,1,0,
23,23,5,Annual,2020-12-12,2024-10-22,10.12,475.64,Net Banking,1,0,
24,24,3,Monthly,2023-01-19,2026-05-03,175.8,7032.0,UPI,1,0,
25,25,3,Monthly,2022-06-23,2022-10-21,139.57,558.28,Bank Transfer,1,0,
26,26,2,Annual,2020-02-21,2021-09-13,75.47,1433.93,Bank Transfer,0,1,2021-06-15
27,27,2,Annual,2023-05-14,2023-07-13,90.76,181.52,Debit Card,1,0,
28,28,4,Monthly,2021-07-04,2022-08-28,457.04,6398.56,Net Banking,1,1,2021-12-01
29,29,2,Annual,2021-06-06,2023-03-28,85.37,1878.14,UPI,0,0,
30,30,2,Monthly,2023-06-23,2026-04-08,89.14,3030.76,UPI,1,1,2023-08-22
31,31,4,Annual,2020-02-05,2021-05-30,438.77,7020.32,Credit Card,1,0,
32,32,5,Annual,2021-09-10,2025-05-22,9.37,421.65,Credit Card,1,0,
33,33,3,Monthly,2022-12-14,2024-01-08,187.48,2437.24,UPI,0,0,
34,34,4,Annual,2023-01-05,2025-02-23,501.51,13039.26,Credit Card,0,0,
35,35,2,Annual,2023-01-29,2023-11-25,93.91,939.1,Debit Card,0,0,
36,36,5,Monthly,2022-07-18,2023-07-13,12.06,144.72,Credit Card,0,1,2023-02-13
37,37,2,Annual,2021-07-27,2024-07-11,77.86,2802.96,Net Banking,1,0,
38,38,4,Annual,2021-09-11,2024-08-26,463.05,16669.8,Bank Transfer,0,0,
39,39,3,Annual,2021-12-15,2023-07-08,179.97,3419.43,Bank Transfer,0,1,2022-01-14
40,40,5,Annual,2022-06-04,2024-10-21,12.11,351.19,Bank Transfer,1,0,
41,41,2,Annual,2023-05-29,2024-02-23,85.03,765.27,Bank Transfer,0,0,
42,42,2,Monthly,2023-01-17,2023-05-17,75.27,301.08,Credit Card,1,0,
43,43,1,Annual,2021-06-03,2021-10-01,33.08,132.32,Credit Card,1,0,
44,44,4,Annual,2023-05-02,2024-11-22,451.84,8584.96,Net Banking,1,0,
45,45,1,Annual,2021-12-30,2025-02-12,36.68,1393.84,Bank Transfer,1,0,
46,46,5,Annual,2022-08-09,2025-12-21,10.67,437.47,UPI,1,0,
