ticket_id,customer_id,opened_date,resolved_date,severity,resolved
1,5,2023-09-19,2023-10-02,High,1
2,5,2023-10-08,2023-10-22,High,1
3,5,2023-10-15,,High,0
4,6,2023-02-19,2023-02-27,Low,1
5,7,2023-04-01,2023-04-13,Low,1
6,7,2023-08-07,,Medium,0
7,7,2023-04-27,2023-05-04,Medium,1
8,8,2023-08-04,2023-08-08,High,1
9,8,2023-08-18,,High,0
10,9,2023-04-23,2023-04-25,High,1
11,9,2023-05-12,2023-05-22,Medium,1
12,9,2023-01-16,,High,0
13,9,2023-10-17,2023-10-26,Low,1
14,10,2023-02-28,2023-03-06,Low,1
15,11,2023-04-13,2023-04-22,Medium,1
16,11,2023-12-11,2023-12-18,High,1
17,11,2023-06-01,2023-06-05,Low,1
18,12,2023-06-26,2023-07-10,Low,1
19,12,2023-02-28,2023-03-06,Low,1
20,13,2023-10-01,2023-10-11,Critical,1
21,14,2023-02-25,2023-03-11,Low,1
22,16,2023-12-10,2023-12-17,High,1
23,16,2023-06-08,2023-06-12,Critical,1
24,16,2023-06-20,,Medium,0
25,16,2023-07-13,2023-07-23,High,1
26,16,2023-04-26,,High,0
27,19,2023-10-02,,Medium,0
28,19,2023-05-01,,Medium,0
29,20,2023-10-21,2023-10-23,Medium,1
30,20,2023-06-08,2023-06-10,Medium,1
31,20,2023-11-14,2023-11-15,Medium,1
32,23,2023-09-17,2023-09-28,Medium,1
33,23,2023-05-22,,High,0
34,24,2023-05-31,2023-06-06,Critical,1
35,25,2023-09-16,2023-09-30,Medium,1
36,25,2023-04-08,2023-04-13,Medium,1
37,26,2023-06-18,2023-06-19,Medium,1
38,26,2023-01-09,,Critical,0
39,26,2023-02-04,2023-02-12,Critical,1
40,26,2023-02-26,2023-03-08,Medium,1
41,26,2023-01-10,2023-01-17,Low,1
42,27,2023-12-28,,High,0
43,27,2023-12-05,2023-12-12,Medium,1
44,28,2023-06-22,2023-06-25,High,1
45,28,2023-09-19,2023-10-01,Critical,1
46,28,2023-04-01,2023-04-13,High,1
47,28,2023-12-26,2024-01-03,Critical,1
48,28,2023-03-08,,High,0
49,30,2023-12-06,2023-12-13,High,1
50,30,2023-08-03,2023-08-14,Critical,1
51,30,2023-05-08,,Medium,0
52,30,2023-11-07,2023-11-08,High,1
53,31,2023-08-01,2023-08-08,High,1
54,31,2023-11-18,2023-11-20,High,1
55,31,2023-01-18,2023-01-28,High,1
56,33,2023-03-07,2023-03-12,High,1
57,33,2023-07-20,2023-07-24,Medium,1
58,34,2023-11-23,2023-11-28,Medium,1
59,36,2023-07-22,2023-07-23,Medium,1
60,36,2023-04-16,2023-04-21,Critical,1
61,36,2023-07-17,2023-07-22,Critical,1
62,38,2023-03-23,2023-04-01,High,1
63,39,2023-05-19,2023-05-21,Low,1
64,39,2023-09-26,2023-10-05,Medium,1
65,40,2023-08-05,2023-08-12,Critical,1
66,40,2023-04-19,,High,0
67,44,2023-11-02,2023-11-13,Critical,1
68,46,2023-08-18,2023-08-27,High,1
69,47,2023-08-28,2023-09-04,Medium,1
70,47,2023-08-10,2023-08-18,High,1
71,48,2023-05-11,2023-05-14,Medium,1
72,48,2023-06-20,2023-07-04,Critical,1
73,50,2023-07-16,2023-07-21,High,1
74,50,2023-10-06,2023-10-13,Critical,1
75,52,2023-03-19,2023-03-30,Medium,1
76,53,2023-04-23,2023-04-26,Medium,1
77,54,2023-05-20,2023-05-25,Low,1
78,55,2023-10-09,,Medium,0
79,58,2023-01-10,2023-01-23,High,1
80,58,2023-08-19,2023-08-20,High,1
81,58,2023-07-06,2023-07-18,Medium,1
82,58,2023-10-28,2023-10-31,Low,1
83,58,2023-08-12,2023-08-20,Critical,1
84,58,2023-07-29,2023-08-02,Medium,1
85,58,2023-08-26,2023-08-28,High,1
86,58,2023-07-06,2023-07-09,High,1
87,58,2023-09-16,2023-09-27,High,1
88,59,2023-01-29,2023-02-03,Medium,1
89,59,2023-07-19,2023-07-27,Low,1
90,59,2023-02-10,2023-02-24,Critical,1
91,60,2023-03-18,2023-03-23,Medium,1
92,60,2023-04-22,2023-04-23,High,1
93,60,2023-12-15,,High,0
94,60,2023-06-17,2023-07-01,Low,1
95,60,2023-03-27,2023-04-05,Critical,1
96,61,2023-05-04,2023-05-11,Low,1
97,62,2023-09-16,2023-09-25,High,1
98,63,2023-07-26,2023-08-07,Medium,1
99,63,2023-10-01,2023-10-02,Low,1
100,63,2023-08-04,2023-08-18,Low,1
101,67,2023-05-01,2023-05-07,Low,1
102,67,2023-12-11,,Medium,0
103,67,2023-04-01,2023-04-14,Critical,1
104,68,2023-07-25,2023-07-29,Critical,1
105,69,2023-01-20,2023-02-03,High,1
106,69,2023-06-01,2023-06-09,Medium,1
107,69,2023-11-26,2023-12-10,High,1
108,69,2023-12-24,2024-01-01,Low,1
109,70,2023-10-28,2023-11-09,Medium,1
110,70,2023-08-07,,Low,0
111,71,2023-05-07,2023-05-15,High,1
112,71,2023-07-12,,Medium,0
113,71,2023-09-28,,High,0
114,73,2023-04-17,,High,0
115,74,2023-05-05,2023-05-14,High,1
116,74,2023-07-29,2023-08-10,High,1
117,75,2023-05-08,2023-05-17,Low,1
118,75,2023-09-04,2023-09-07,Critical,1
119,77,2023-05-25,2023-05-30,Medium,1
120,77,2023-07-27,2023-08-05,High,1
121,77,2023-01-16,2023-01-25,Critical,1
122,78,2023-12-25,2024-01-06,Low,1
123,78,2023-05-11,,Medium,0
124,78,2023-08-01,2023-08-14,High,1
125,78,2023-03-27,2023-04-05,Critical,1
126,78,2023-11-16,2023-11-22,Low,1
127,79,2023-08-04,2023-08-06,Low,1
128,79,2023-08-29,2023-09-08,Low,1
129,80,2023-12-11,2023-12-14,Critical,1
130,80,2023-01-09,2023-01-12,Critical,1
131,80,2023-02-07,2023-02-09,High,1
132,81,2023-06-21,2023-06-23,High,1
133,81,2023-11-19,2023-11-28,Critical,1
134,84,2023-06-19,,High,0
135,85,2023-04-10,2023-04-24,Medium,1
136,87,2023-03-11,2023-03-15,Low,1
137,87,2023-11-24,2023-11-28,Critical,1
138,87,2023-01-01,2023-01-09,Medium,1
139,87,2023-09-10,2023-09-15,Low,1
140,88,2023-05-30,2023-06-05,Medium,1
141,88,2023-12-14,2023-12-22,Medium,1
