usage_id,customer_id,usage_month,login_count,feature_usage_score,support_tickets_raised,nps_score
1,1,2023-01-01,18,75.06,1,
2,1,2023-01-31,30,100.0,1,
3,1,2023-03-02,16,0.0,0,7.0
4,1,2023-04-01,10,79.09,1,
5,1,2023-05-01,9,63.15,0,10.0
6,1,2023-05-31,5,47.62,0,
7,1,2023-06-30,17,80.03,0,
8,1,2023-07-30,7,64.2,2,
9,1,2023-08-29,14,35.89,1,7.0
10,1,2023-09-28,16,26.13,1,9.0
11,1,2023-10-28,18,39.18,0,10.0
12,1,2023-11-27,17,30.15,0,
13,2,2023-01-01,18,33.15,0,
14,2,2023-01-31,19,87.04,0,
15,2,2023-03-02,8,62.8,0,9.0
16,2,2023-04-01,19,8.97,1,7.0
17,2,2023-05-01,22,24.24,1,8.0
18,2,2023-05-31,17,7.39,2,10.0
19,2,2023-06-30,16,67.86,2,
20,2,2023-07-30,23,55.49,0,
21,2,2023-08-29,17,68.75,0,
22,2,2023-09-28,19,43.74,0,7.0
23,2,2023-10-28,21,55.16,0,10.0
24,2,2023-11-27,15,67.64,1,
25,3,2023-01-01,21,23.04,0,9.0
26,3,2023-01-31,18,46.62,0,8.0
27,3,2023-03-02,16,62.87,1,8.0
28,3,2023-04-01,21,29.33,0,
29,3,2023-05-01,21,39.52,0,
30,3,2023-05-31,3,62.97,3,8.0
31,3,2023-06-30,13,18.21,0,7.0
32,3,2023-07-30,20,22.46,1,
33,3,2023-08-29,28,39.33,0,7.0
34,3,2023-09-28,9,48.26,0,7.0
35,3,2023-10-28,26,76.46,0,9.0
36,3,2023-11-27,13,93.77,1,
37,4,2023-01-01,27,51.51,1,10.0
38,4,2023-01-31,19,61.57,0,10.0
39,4,2023-03-02,17,54.92,0,7.0
40,4,2023-04-01,29,46.38,1,10.0
41,4,2023-05-01,31,23.29,0,8.0
42,4,2023-05-31,20,60.87,0,8.0
43,4,2023-06-30,21,35.67,0,
44,4,2023-07-30,17,55.68,2,
45,4,2023-08-29,10,70.36,1,
46,4,2023-09-28,29,53.13,0,
47,4,2023-10-28,13,57.5,1,9.0
48,4,2023-11-27,11,66.39,0,
49,5,2023-01-01,1,66.44,0,3.0
50,5,2023-01-31,20,72.76,1,4.0
51,5,2023-03-02,5,42.28,2,6.0
52,5,2023-04-01,12,19.6,0,2.0
53,5,2023-05-01,12,24.04,0,1.0
54,5,2023-05-31,5,73.63,3,1.0
55,5,2023-06-30,14,55.7,2,6.0
56,5,2023-07-30,8,18.42,2,6.0
57,5,2023-08-29,14,32.26,1,6.0
58,5,2023-09-28,10,0.0,1,3.0
59,5,2023-10-28,8,0.0,0,6.0
60,5,2023-11-27,3,45.46,3,1.0
61,6,2023-01-01,6,100.0,0,
62,6,2023-01-31,13,42.54,0,8.0
63,6,2023-03-02,19,60.35,0,
64,6,2023-04-01,20,48.92,0,10.0
65,6,2023-05-01,20,58.99,0,9.0
66,6,2023-05-31,14,29.04,1,
67,6,2023-06-30,20,32.65,0,
68,6,2023-07-30,7,83.16,0,7.0
69,6,2023-08-29,11,65.09,1,7.0
70,6,2023-09-28,14,82.83,0,7.0
71,6,2023-10-28,12,24.9,0,
72,6,2023-11-27,25,50.15,0,
73,7,2023-01-01,25,44.77,0,2.0
74,7,2023-01-31,17,66.48,2,5.0
75,7,2023-03-02,18,65.89,0,4.0
76,7,2023-04-01,7,44.23,1,5.0
77,7,2023-05-01,7,47.88,1,2.0
78,7,2023-05-31,14,56.77,1,6.0
79,7,2023-06-30,13,75.13,1,4.0
80,7,2023-07-30,11,47.94,1,5.0
81,7,2023-08-29,8,41.29,0,1.0
82,7,2023-09-28,8,27.47,5,3.0
83,7,2023-10-28,17,57.57,0,2.0
84,7,2023-11-27,7,44.13,0,3.0
85,8,2023-01-01,16,54.38,3,6.0
86,8,2023-01-31,20,49.36,1,3.0
87,8,2023-03-02,23,69.53,3,5.0
88,8,2023-04-01,15,43.93,2,3.0
89,8,2023-05-01,11,67.58,2,2.0
90,8,2023-05-31,10,60.76,1,2.0
91,8,2023-06-30,16,83.21,2,2.0
92,8,2023-07-30,12,49.83,0,6.0
93,8,2023-08-29,14,2.21,1,4.0
94,8,2023-09-28,7,51.1,0,3.0
95,8,2023-10-28,22,38.24,1,5.0
96,8,2023-11-27,0,49.08,0,3.0
97,9,2023-01-01,16,100.0,1,4.0
98,9,2023-01-31,15,63.83,1,2.0
99,9,2023-03-02,12,87.79,3,4.0
100,9,2023-04-01,10,47.7,0,1.0
101,9,2023-05-01,12,54.23,0,4.0
102,9,2023-05-31,10,61.98,2,2.0
103,9,2023-06-30,8,65.13,1,6.0
104,9,2023-07-30,8,36.3,4,6.0
105,9,2023-08-29,4,49.27,0,3.0
106,9,2023-09-28,13,38.69,1,4.0
107,9,2023-10-28,11,54.62,2,5.0
108,9,2023-11-27,18,28.41,4,4.0
109,10,2023-01-01,15,75.51,2,
110,10,2023-01-31,19,84.3,1,
111,10,2023-03-02,16,56.68,0,8.0
112,10,2023-04-01,20,80.79,0,8.0
113,10,2023-05-01,22,45.88,0,
114,10,2023-05-31,27,45.31,2,10.0
115,10,2023-06-30,24,33.83,0,8.0
116,10,2023-07-30,15,76.53,0,9.0
117,10,2023-08-29,16,63.8,0,
118,10,2023-09-28,26,75.58,0,7.0
119,10,2023-10-28,15,41.28,0,8.0
120,10,2023-11-27,9,42.79,0,8.0
121,11,2023-01-01,21,34.05,0,9.0
122,11,2023-01-31,13,52.98,2,7.0
123,11,2023-03-02,16,45.44,1,8.0
124,11,2023-04-01,30,18.52,0,9.0
125,11,2023-05-01,12,70.6,0,
126,11,2023-05-31,21,31.03,2,7.0
127,11,2023-06-30,15,40.23,1,9.0
128,11,2023-07-30,25,57.15,0,7.0
129,11,2023-08-29,22,3.79,0,8.0
130,11,2023-09-28,22,79.59,0,9.0
131,11,2023-10-28,21,30.96,0,9.0
132,11,2023-11-27,13,49.25,1,
133,12,2023-01-01,11,46.12,0,
134,12,2023-01-31,22,69.83,0,
135,12,2023-03-02,14,58.09,0,
136,12,2023-04-01,21,77.04,0,
137,12,2023-05-01,1,84.54,0,
138,12,2023-05-31,18,55.21,0,7.0
139,12,2023-06-30,16,46.16,1,7.0
140,12,2023-07-30,22,55.66,0,
141,12,2023-08-29,23,45.32,3,
142,12,2023-09-28,29,48.01,0,8.0
143,12,2023-10-28,19,26.54,0,7.0
144,12,2023-11-27,36,15.59,0,
145,13,2023-01-01,33,79.86,1,10.0
146,13,2023-01-31,14,49.72,0,
147,13,2023-03-02,23,35.88,0,
148,13,2023-04-01,15,45.32,0,
149,13,2023-05-01,28,71.42,1,7.0
150,13,2023-05-31,7,67.86,2,8.0
151,13,2023-06-30,14,58.04,0,9.0
152,13,2023-07-30,26,17.27,0,10.0
153,13,2023-08-29,19,79.31,0,9.0
154,13,2023-09-28,9,39.34,1,
155,13,2023-10-28,8,42.46,1,10.0
156,13,2023-11-27,15,42.49,0,
157,14,2023-01-01,16,50.82,0,
158,14,2023-01-31,18,40.71,0,
159,14,2023-03-02,13,73.47,1,
160,14,2023-04-01,19,45.63,1,8.0
161,14,2023-05-01,17,84.08,0,7.0
162,14,2023-05-31,19,49.64,1,9.0
163,14,2023-06-30,12,94.6,1,8.0
164,14,2023-07-30,26,58.31,1,7.0
165,14,2023-08-29,16,81.28,0,7.0
166,14,2023-09-28,30,50.07,0,9.0
167,14,2023-10-28,24,63.86,0,
168,14,2023-11-27,13,30.6,2,
169,15,2023-01-01,6,29.77,0,7.0
170,15,2023-01-31,16,93.54,0,7.0
171,15,2023-03-02,20,31.07,0,7.0
172,15,2023-04-01,14,56.99,0,
173,15,2023-05-01,19,38.45,0,9.0
174,15,2023-05-31,16,51.92,1,
175,15,2023-06-30,22,39.65,0,10.0
176,15,2023-07-30,13,75.47,1,
177,15,2023-08-29,24,35.69,0,7.0
178,15,2023-09-28,9,44.6,1,
179,15,2023-10-28,18,47.25,0,9.0
180,15,2023-11-27,28,16.05,0,9.0
181,16,2023-01-01,9,65.06,2,6.0
182,16,2023-01-31,20,47.41,0,3.0
183,16,2023-03-02,29,49.82,0,3.0
184,16,2023-04-01,20,34.54,0,1.0
185,16,2023-05-01,13,23.62,1,4.0
186,16,2023-05-31,19,16.42,2,1.0
187,16,2023-06-30,21,62.72,2,5.0
188,16,2023-07-30,21,64.57,2,4.0
189,16,2023-08-29,16,27.84,0,2.0
190,16,2023-09-28,10,66.24,3,6.0
191,16,2023-10-28,10,59.09,2,1.0
192,16,2023-11-27,27,36.41,3,3.0
193,17,2023-01-01,24,75.47,1,
